'EPIC GC IGd.PG.MV Log File

'Date,GC IGd.PG.MV
08/06/2023 00:00:01.277,2.40E-08
08/06/2023 00:00:02.285,2.40E-08
08/06/2023 00:00:03.293,2.40E-08
08/06/2023 00:00:04.312,2.40E-08
08/06/2023 00:00:05.322,2.40E-08
08/06/2023 00:00:06.330,2.40E-08
08/06/2023 00:00:07.341,2.40E-08
08/06/2023 00:00:08.352,2.40E-08
08/06/2023 00:00:09.371,2.40E-08
08/06/2023 00:00:10.391,2.40E-08
08/06/2023 00:00:11.411,2.40E-08
08/06/2023 00:00:12.439,2.40E-08
08/06/2023 00:00:13.456,2.40E-08
08/06/2023 00:00:14.474,2.40E-08
08/06/2023 00:00:15.494,2.40E-08
08/06/2023 00:00:16.504,2.40E-08
08/06/2023 00:00:17.516,2.40E-08
08/06/2023 00:00:18.553,2.40E-08
08/06/2023 00:00:19.568,2.40E-08
08/06/2023 00:00:20.588,2.40E-08
08/06/2023 00:00:21.606,2.40E-08
08/06/2023 00:00:22.616,2.40E-08
08/06/2023 00:00:23.638,2.40E-08
08/06/2023 00:00:24.668,2.40E-08
08/06/2023 00:00:25.682,2.40E-08
08/06/2023 00:00:26.692,2.40E-08
08/06/2023 00:00:27.699,2.40E-08
08/06/2023 00:00:28.709,2.40E-08
08/06/2023 00:00:29.716,2.40E-08
08/06/2023 00:00:30.728,2.40E-08
08/06/2023 00:00:31.741,2.40E-08
08/06/2023 00:00:32.750,2.40E-08
08/06/2023 00:00:33.760,2.40E-08
08/06/2023 00:00:34.781,2.40E-08
08/06/2023 00:00:35.789,2.40E-08
08/06/2023 00:00:36.809,2.40E-08
08/06/2023 00:00:37.829,2.40E-08
08/06/2023 00:00:38.835,2.40E-08
08/06/2023 00:00:39.845,2.40E-08
08/06/2023 00:00:40.856,2.40E-08
08/06/2023 00:00:41.873,2.40E-08
08/06/2023 00:00:42.893,2.40E-08
08/06/2023 00:00:43.905,2.40E-08
08/06/2023 00:00:44.911,2.40E-08
08/06/2023 00:00:45.932,2.40E-08
08/06/2023 00:00:46.950,2.40E-08
08/06/2023 00:00:47.969,2.40E-08
08/06/2023 00:00:48.984,2.40E-08
08/06/2023 00:00:49.996,2.40E-08
08/06/2023 00:00:51.029,2.40E-08
08/06/2023 00:00:52.045,2.40E-08
08/06/2023 00:00:53.060,2.40E-08
08/06/2023 00:00:54.073,2.40E-08
08/06/2023 00:00:55.085,2.40E-08
08/06/2023 00:00:56.099,2.40E-08
08/06/2023 00:00:57.106,2.40E-08
08/06/2023 00:00:58.114,2.40E-08
08/06/2023 00:00:59.122,2.40E-08
08/06/2023 00:01:00.144,2.40E-08
08/06/2023 00:01:01.158,2.40E-08
08/06/2023 00:01:02.185,2.40E-08
08/06/2023 00:01:03.198,2.40E-08
08/06/2023 00:01:04.211,2.40E-08
08/06/2023 00:01:05.220,2.40E-08
08/06/2023 00:01:06.230,2.40E-08
08/06/2023 00:01:07.239,2.40E-08
08/06/2023 00:01:08.258,2.40E-08
08/06/2023 00:01:09.276,2.40E-08
08/06/2023 00:01:10.287,2.40E-08
08/06/2023 00:01:11.293,2.40E-08
08/06/2023 00:01:12.304,2.40E-08
08/06/2023 00:01:13.324,2.40E-08
08/06/2023 00:01:14.332,2.40E-08
08/06/2023 00:01:15.350,2.40E-08
08/06/2023 00:01:16.359,2.40E-08
08/06/2023 00:01:17.383,2.40E-08
08/06/2023 00:01:18.402,2.40E-08
08/06/2023 00:01:19.410,2.40E-08
08/06/2023 00:01:20.420,2.40E-08
08/06/2023 00:01:21.429,2.40E-08
08/06/2023 00:01:22.442,2.40E-08
08/06/2023 00:01:23.454,2.40E-08
08/06/2023 00:01:24.461,2.40E-08
08/06/2023 00:01:25.470,2.40E-08
08/06/2023 00:01:26.482,2.40E-08
08/06/2023 00:01:27.496,2.40E-08
08/06/2023 00:01:28.515,2.40E-08
08/06/2023 00:01:29.535,2.40E-08
08/06/2023 00:01:30.558,2.40E-08
08/06/2023 00:01:31.575,2.40E-08
08/06/2023 00:01:32.582,2.40E-08
